Ticker,Nome do Fundo,Categoria,Provedor do indice,Retorno 30 dias,Retorno no ano,Retorno 12 meses,Cotação(R$),Negociação diária média
tirb11As maiores empresas dos setores de ativos reais que mais pagam dividendos.,Ações,Teva Indices,"4,53%","12,33%","44,44%","14,76","5,74",1.073,"0,09","0,50%","0,50%",
cmdb11Empresas brasileiras produtoras de commodities.,Ações,Teva Indices,"-1,85%","19,96%","35,58%","17,49","18,44",1.805,"0,62","0,50%","0,50%",
elas11Empresas com maior participação de mulheres em cargos de liderança.,Ações,Teva Indices,"1,46%","13,56%","34,11%","177,38","5,36",107,"2,90","0,50%","0,50%",
brxc11Índice amplo de empresas brasileiras com a exclusão do setor de commodities.,Ações,Teva Indices,"3,28%","5,38%","22,59%","140,32","83,61",61,"1,81","0,25%","0,25%",
trig11Empresas brasileiras de menor capitalização de mercado.,Ações,Teva Indices,"0,42%","0,56%","17,26%","48,30","20,89",1.621,"0,16","0,40%","0,40%",
lfts11Títulos do Tesouro Selic com liquidez e baixo custo.,Renda Fixa,Teva Indices,"1,14%","4,62%","14,74%","152,12","2.870,18",16.771,"46,07","0,19%","0,19%",
debb11Carteira altamente alocada e diversificada de debêntures DI+.,Renda Fixa,Teva Indices,"1,06%","4,18%","14,15%","16,21","1.171,62",18.049,"4,03","0,60%","0,60%",
pacb11Os títulos públicos indexados ao IPCA mais longos do mercado.,Renda Fixa,Teva Indices,"3,30%","4,78%","13,47%","10,95","1.548,23",2.485,"0,74","0,19%","0,19%",
phip11Alocações estratégicas em NTN-Bs ajustada para diferentes ciclos de taxa de juros.,Renda Fixa,Teva Indices,"2,12%","4,47%","11,71%","117,33","633,89",113,"0,02","0,15%","0,15%",
ntns11Títulos públicos indexados ao IPCA com vencimentos em até 4 anos,Renda Fixa,Teva Indices,"1,67%","5,16%","11,65%","64,98","157,83",4.365,"1,44","0,19%","0,19%",
crpt11As 20 maiores criptomoedas do mundo.,Alternativos,Teva Indices,"6,71%","-25,34%","-27,68%","13,35","75,89",3.940,"0,25","0,75%","0,75%",
5pre11Acompanha o desempenho do ITBR Pré 5 Anos - Índice Teva Tesouro Pré-Fixado 5 Anos,Renda Fixa,Teva Indices,"2,60%",-,-,"50,10","105,29",693,"0,81","0,25%","0,25%",
area11Rendimentos otimizados com uma carteira de títulos públicos indexados ao IPCA.,Renda Fixa,Teva Indices,"2,23%","4,16%",-,"105,46","53,26",5.460,"0,44","0,30%","0,30%",
aupo11Acompanha o desempenho do Índice Teva ITBR Liquidez,Renda Fixa,Teva Indices,"1,35%","4,64%",-,"105,25","475,98",17.356,"6,83","0,19%","0,19%",
auvp11Empresas brasileiras selecionadas a partir de métricas fundamentalistas.,Ações,Teva Indices,"4,20%","13,91%",-,"130,02","143,17",20.632,"1,19","0,49%","0,49%",
